,geo_code,geo_label,nearest_main_bua,nearest_sub_bua
26867,E01004233,Tower Hamlets 003D,69.0,21.0
26868,E01004230,Tower Hamlets 003B,64.0,20.0
26869,E01004231,Tower Hamlets 004D,62.0,23.0
26870,E01002238,Harrow 024B,33.0,11.0
26871,E01002239,Harrow 025C,38.0,21.0
26872,E01004238,Tower Hamlets 008D,63.0,23.0
26873,E01004239,Tower Hamlets 008E,67.0,28.0
26874,E01000536,Brent 004A,52.0,21.0
26875,E01000534,Brent 033D,64.0,27.0
26876,E01001571,Greenwich 008A,99.0,29.0
26877,E01001578,Greenwich 003D,93.0,26.0
26878,E01001579,Greenwich 003E,102.0,32.0
